country_code,region,population_size,p_o_pos,p_o_neg,p_a_pos,p_a_neg,p_b_pos,p_b_neg,p_ab_pos,p_ab_neg,rh_negative_rate
GB,Europe,108328085,0.373554,0.056414,0.305723,0.06497,0.109383,0.023904,0.04371,0.022342,0.16763
FR,Europe,46738553,0.330104,0.071148,0.336667,0.072512,0.095727,0.023263,0.049985,0.020594,0.187517
DE,Europe,10585377,0.368965,0.058713,0.333185,0.060172,0.105269,0.013257,0.03894,0.021499,0.153641
IT,Europe,69157848,0.361326,0.053443,0.315731,0.09813,0.086372,0.029235,0.033287,0.022476,0.203284
ES,Europe,151099456,0.383377,0.069177,0.312493,0.061924,0.070285,0.026869,0.061681,0.014194,0.172164
PL,Europe,182033766,0.381368,0.05893,0.302474,0.06035,0.088047,0.014043,0.081043,0.013745,0.147068
SE,Europe,25637222,0.399913,0.052415,0.291278,0.06188,0.099387,0.020873,0.04895,0.025304,0.160472
NO,Europe,12274621,0.374214,0.066608,0.295801,0.05991,0.121795,0.018997,0.04615,0.016525,0.16204
EG,MENA,51905866,0.400264,0.010721,0.272707,0.026238,0.189222,0.017832,0.07368,0.009336,0.064127
SA,MENA,157331731,0.388597,0.016553,0.287097,0.033202,0.19248,0.013702,0.061215,0.007154,0.070611
AE,MENA,111169700,0.393242,0.023836,0.267321,0.028623,0.207414,0.013437,0.055337,0.01079,0.076686
MA,MENA,159922984,0.395024,0.02047,0.271746,0.030138,0.191904,0.027021,0.05834,0.005357,0.082986
DZ,MENA,88343264,0.386948,0.020447,0.264067,0.041195,0.165802,0.025768,0.085957,0.009816,0.097226
TN,MENA,192906558,0.393744,0.041856,0.246389,0.033342,0.175958,0.024235,0.07541,0.009066,0.108499
JO,MENA,189225564,0.404445,0.017186,0.259499,0.020144,0.171779,0.03179,0.087001,0.008156,0.077276
TR,MENA,132997589,0.408727,0.011384,0.260613,0.035734,0.193888,0.018138,0.063463,0.008053,0.073309
CN,Asia,110011636,0.40232,0.003364,0.300665,0.008761,0.214937,0.011365,0.05546,0.003128,0.026618
JP,Asia,127838555,0.386886,0.006329,0.26758,0.013454,0.235997,0.022858,0.056503,0.010393,0.053034
KR,Asia,146713028,0.40836,0.013308,0.204147,0.00566,0.270412,0.004489,0.089149,0.004475,0.027932
IN,Asia,104912284,0.401338,0.017053,0.266909,0.013407,0.200025,0.009857,0.080442,0.010969,0.051286
PK,Asia,163566703,0.383166,0.010457,0.260069,0.008032,0.241748,0.01231,0.077502,0.006716,0.037515
BD,Asia,92372540,0.415637,0.00785,0.257909,0.012049,0.236964,0.005101,0.057753,0.006737,0.031737
ID,Asia,19310852,0.389487,0.008585,0.245145,0.02112,0.249304,0.012892,0.067633,0.005834,0.048431
PH,Asia,25020885,0.397736,0.01857,0.28997,0.011624,0.199503,0.007758,0.06973,0.005109,0.043061
VN,Asia,107967805,0.372256,0.008501,0.291794,0.008721,0.230565,0.008199,0.073724,0.00624,0.031661
TH,Asia,127881648,0.372552,0.00222,0.300781,0.008114,0.222665,0.008853,0.079396,0.005419,0.024606
NG,Africa,163563548,0.503097,0.020604,0.204142,0.014725,0.18264,0.012502,0.05091,0.01138,0.059211
ZA,Africa,160148712,0.500193,0.012546,0.177415,0.010274,0.187636,0.019432,0.084624,0.00788,0.050132
KE,Africa,198119899,0.477615,0.007394,0.211384,0.010109,0.181184,0.024877,0.074998,0.012439,0.054819
ET,Africa,124415538,0.429899,0.008897,0.203755,0.02723,0.218581,0.024657,0.075716,0.011265,0.072049
GH,Africa,59395058,0.507883,0.013233,0.241751,0.004708,0.154133,0.019648,0.04938,0.009264,0.046853
UG,Africa,138600085,0.461575,0.022513,0.193424,0.012742,0.191738,0.02853,0.081782,0.007696,0.071481
US,Americas,136285389,0.43081,0.039794,0.282108,0.031338,0.129351,0.016618,0.056606,0.013375,0.101125
CA,Americas,104855910,0.482602,0.035839,0.272835,0.030648,0.103616,0.01348,0.049632,0.011348,0.091315
MX,Americas,195510719,0.472418,0.033551,0.23214,0.027658,0.140294,0.024059,0.041887,0.027993,0.113261
BR,Americas,100164033,0.432502,0.052956,0.286272,0.030208,0.113818,0.018506,0.039516,0.026222,0.127892
AR,Americas,78362381,0.445333,0.038205,0.294449,0.027046,0.080378,0.038168,0.062605,0.013816,0.117235
CL,Americas,158200541,0.461729,0.025966,0.250675,0.029253,0.123028,0.015724,0.064316,0.029309,0.100252
CO,Americas,17876696,0.443579,0.055605,0.264147,0.021333,0.120323,0.024594,0.054632,0.015787,0.117319
